nom,SIREN,type,code_region,code_departement
CA Pau Béarn Pyrénées,200067254,CA,75,64
CA Pays d'Issoire,200070407,CA,84,63
CA Pays de Montbéliard Agglomération,200065647,CA,27,25
CA Pays Foix-Varilhes,200067791,CA,76,9
CA Plaine Vallée,200056380,CA,11,95
CA Pornic Agglo Pays de Retz,200067346,CA,52,44
CA Porte de l'Isère (C.A.P.I),243800604,CA,84,38
CA Portes de France-Thionville,245701362,CA,44,57
CA Privas Centre Ardèche,200071413,CA,84,7
CA Provence-Alpes-Agglomération,200067437,CA,93,4
CA Quimper Bretagne Occidentale,200068120,CA,53,29
CA Quimperlé Communauté,242900694,CA,53,29
CA Rambouillet Territoires,200073344,CA,11,78
CA Redon Agglomération,243500741,CA,,
CA Riom Limagne et Volcans,200070753,CA,84,63
CA Roannais Agglomération,200035731,CA,84,42
CA Rochefort Océan,200041762,CA,75,17
CA Rodez Agglomération,241200187,CA,76,12
CA Roissy Pays de France,200055655,CA,11,
CA Royan Atlantique,241700640,CA,75,17
CA Saint-Avold Synergie,200067502,CA,44,57
CA Saint-Brieuc Armor Agglomération,200069409,CA,53,22
CA Saint-Germain Boucles de Seine,200058519,CA,11,
CA Saint-Lô Agglo,200066389,CA,28,50
CA Saint-Louis Agglomération,200066058,CA,44,68
CA Sarreguemines Confluences,200070746,CA,44,
CA Saumur Val de Loire,200071876,CA,52,49
CA Seine-Eure,200089456,CA,28,27
CA Seine Normandie Agglomération,200072312,CA,28,27
CA Sète Agglopôle Méditerranée,200066355,CA,76,34
CA Sud Sainte-Baume,248300394,CA,93,83
CA Tarbes-Lourdes-Pyrénées,200069300,CA,76,65
CA Terre de Provence,200035087,CA,93,13
CA Territoire de la Côte Ouest (TCO),249740101,CA,4,974
CA Territoires Vendômois,200072072,CA,24,41
CA Thonon Agglomération,200067551,CA,84,74
CA Troyes Champagne Métropole,200069250,CA,44,10
CA Tulle Agglo,241927201,CA,75,19
CA Val d'Europe Agglomération,247700339,CA,11,77
CA Val d'Yerres Val de Seine,200058477,CA,11,91
CA Val de Garonne Agglomération,200030674,CA,75,47
CA Val Parisis,200058485,CA,11,95
CA Valence Romans Agglo,200068781,CA,84,26
CA Valenciennes Métropole,245901160,CA,32,59
CA Var Estérel Méditerranée (Cavem),200035319,CA,93,83
CA Ventoux-Comtat-Venaissin (COVE),248400053,CA,93,84
CA Versailles Grand Parc (C.A.V.G.P.),247800584,CA,11,
CA Vichy Communauté,200071363,CA,84,3
CA Vienne Condrieu,200077014,CA,84,
CA Villefranche Beaujolais Saône,200040590,CA,84,
CA Vitré Communauté,200039022,CA,53,35
CC Adour Madiran,200072106,CC,,
CC Agly Fenouillèdes,246600423,CC,76,66
CC Airvaudais-Val du Thouet,200041416,CC,75,79
CC Albret Communauté,200068948,CC,75,47
CC Alpes-Provence-Verdon - Sources de Lumière,200068625,CC,93,4
CC Alpes d'Azur,200039931,CC,93,6
CC Altitude 800,242504488,CC,27,25
CC Ambert Livradois Forez,200070761,CC,84,63
CC Amognes Cœur du Nivernais,200067908,CC,27,58
CC Andaine - Passais,200068443,CC,28,61
CC Anjou Bleu Communauté,244900809,CC,52,49
CC Anjou Loir et Sarthe,200068955,CC,52,49
"CC Arbois,Poligny,Salins,Cœur du Jura",200071595,CC,27,39
CC Arc Sud Bretagne,200027027,CC,53,56
CC Ardèche des Sources et Volcans,200039824,CC,84,7
CC Ardèche Rhône Coiron,200071405,CC,84,7
"CC Ardenne,Rives de Meuse",240800821,CC,44,8
CC Ardennes Thiérache,200041622,CC,44,8
CC Argentan Intercom,200068450,CC,28,61
CC Argonne-Meuse,200066116,CC,44,55
CC Arize Lèze,200066223,CC,76,9
CC Armagnac Adour,200035632,CC,76,32
CC Arnon Boischaut Cher,200027076,CC,24,18
CC Artagnan de Fezensac,243200607,CC,76,32
CC Arve et Salève,247400583,CC,84,74
CC Astarac Arros en Gascogne,200035756,CC,76,32
CC Aubrac Lot Causses Tarn,200069268,CC,76,48
"CC Aubrac,Carladez et Viadène",200067171,CC,76,12
CC Aunis Atlantique,200041499,CC,75,17
CC Aunis Sud,200041614,CC,75,17
CC Auray Quiberon Terre Atlantique,200043123,CC,53,56
CC Aure-Louron,246500573,CC,76,65
CC Auxonne Pontailler Val de Saône,200070902,CC,27,21
CC Auzon Communauté,244301099,CC,84,43
"CC Avallon,Vézelay,Morvan",200039758,CC,27,89
CC Aveyron Bas Ségala Viaur,241200807,CC,76,12
CC Avre Luce Noye,200070969,CC,32,80
CC Aygues-Ouvèze en Provence (CCAOP),248400160,CC,93,84
CC Bassée-Montois,200040251,CC,11,77
CC Bassin Auterivain Haut-Garonnais,200068807,CC,76,31
CC Bastides de Lomagne,200034726,CC,76,32
CC Bastides et Vallons du Gers,243200508,CC,76,32
CC Baugeois Vallée,244900882,CC,52,49
CC Bazois Loire Morvan,200067882,CC,27,58
CC Beaucaire Terre d'Argence,243000585,CC,76,30
CC Beauce Val de Loire,200055481,CC,24,41
CC Beaujolais Pierres Dorées,200040574,CC,84,69
CC Berg et Coiron,240700815,CC,84,7
CC Berry-Loire-Vauvise,200032514,CC,24,18
CC Berry Grand Sud,200049484,CC,24,18
CC Berry Loire Puisaye,200068278,CC,24,45
CC Bièvre Isère,200059392,CC,84,38
CC Billom Communauté,200067627,CC,84,63
CC Bouzonvillois-Trois Frontières,200067486,CC,44,57
CC Brenne - Val de Creuse,243600319,CC,24,36
CC Bresse et Saône,200071371,CC,84,1
CC Bresse Haute Seille,200069615,CC,27,39
CC Bresse Louhannaise Intercom',200071579,CC,27,71
CC Bresse Nord Intercom,247100647,CC,27,71
CC Bresse Revermont 71,200042414,CC,27,71
CC Bretagne porte de Loire Communauté,200070662,CC,53,35
CC Bretagne Romantique,243500733,CC,53,35
CC Briance-Combade,248719338,CC,75,87
CC Briance Sud Haute Vienne,200040814,CC,75,87
CC Brie des Rivières et Châteaux,200070779,CC,11,77
CC Brie Nangissienne,247700701,CC,11,77
CC Bruyères-Vallons des Vosges,200042000,CC,44,88
CC Buëch-Dévoluy,200067445,CC,93,5
CC Bugey Sud,200040350,CC,84,1
CC Cagire Garonne Salat,200073146,CC,76,31
CC Campagne-de-Caux,247600505,CC,28,76
CC Canaux et Forêts en Gâtinais,200067676,CC,24,45
CC Cap Sizun - Pointe du Raz,242900629,CC,53,29
CC Carmausin-Ségala,200040905,CC,76,81
CC Carnelle Pays-De-France,200073013,CC,11,95
CC Castelnaudary Lauragais Audois,200035855,CC,76,11
CC Castillon/Pujols,243301454,CC,75,
CC Causses Aigoual Cévennes,200034601,CC,76,30
CC Causses et Vallée de la Dordogne,200066371,CC,76,46
CC Caux - Austreberthe,247600646,CC,28,76
CC Cazals-Salviac,200035327,CC,76,46
CC Celavu-Prunelli,242000503,CC,94,
CC Centre Morbihan Communauté,200067221,CC,53,56
CC Centre Tarn,200034049,CC,76,81
CC Cère et Goul en Carladès,241501089,CC,84,15
"CC Chablis,Villages et Terroirs",200067080,CC,27,89
CC Chabris - Pays de Bazelle,243600202,CC,24,36
CC Challans-Gois Communauté,200071629,CC,52,85
CC Chalosse Tursan,200069649,CC,75,40
CC Champagne Boischauts,200068880,CC,24,36
CC Champagnole Nozeroy Jura,200069623,CC,27,39
CC Champsaur-Valgaudemar,200068096,CC,93,5
CC Charlieu-Belmont,200035202,CC,84,42
CC Châteaubriant-Derval,200072726,CC,52,44
CC Chavanon Combrailles et Volcans,200071215,CC,84,63
"CC Chinon,Vienne et Loire",200043081,CC,24,37
CC Cingal-Suisse Normande,200066710,CC,28,14
CC Cluses-Arve et Montagnes,200033116,CC,84,74
CC Cœur Côte Fleurie,241400415,CC,28,14
CC Cœur d'Astarac en Gascogne,243200425,CC,76,32
CC Cœur d'Ostrevent,245901152,CC,32,59
CC Cœur d'Yvelines,247800618,CC,11,78
CC Cœur de Beauce,200070159,CC,24,28
CC Cœur de Berry,200070571,CC,24,18
CC Cœur de Brenne,243600343,CC,24,36
CC Cœur de Charente,200072023,CC,75,16
CC Cœur de Chartreuse,200040111,CC,84,
CC Cœur de France,200036135,CC,24,18
CC Cœur de Garonne,200068815,CC,76,31
CC Cœur de l'Avesnois,200043263,CC,32,59
CC Cœur de Loire,200067916,CC,27,58
CC Cœur de Lozère,244800405,CC,76,48
CC Cœur de Maurienne Arvan,200070464,CC,84,73
CC Cœur de Nacre,241400860,CC,28,14
CC Cœur de Saintonge,241700517,CC,75,17
CC Cœur de Savoie,200041010,CC,84,73
CC Cœur de Sologne,200000800,CC,24,41
CC Cœur de Tarentaise,200023299,CC,84,73
CC Coeur du Pays Haut,200070290,CC,44,
CC Cœur du Perche,200068435,CC,28,61
CC Cœur du Var,248300550,CC,93,83
CC Cœur et Coteaux du Comminges,200072643,CC,76,31
CC Cœur Haute Lande,200069656,CC,75,40
CC Combrailles Sioule et Morge,200072098,CC,84,63
CC Commentry Montmarault Néris Communauté,200071512,CC,84,3
CC Communauté Bray-Eawy,200070068,CC,28,76
CC Communauté Lesneven Côte des Légendes,242900793,CC,53,29
CC Comtal Lot et Truyère,200067478,CC,76,12
CC Conflent-Canigó,200049211,CC,76,66
CC Conques-Marcillac,241200641,CC,76,12
CC Convergence Garonne,200069581,CC,75,33
CC Corbières Salanque Méditerranée,200070365,CC,76,
CC Côte d'Émeraude,243500725,CC,53,
CC Côte Landes Nature,244000857,CC,75,40
CC Côte Ouest Centre Manche,200067031,CC,28,50
CC Coteaux et Plaines du Pays Lafrançaisain,200067122,CC,76,82
CC Coteaux et Vallées des Luys,244000881,CC,75,40
CC Côtes de Champagne et Val de Saulx,200067379,CC,44,51
CC Côtes de Meuse Woëvre,200034874,CC,44,55
CC Couesnon Marches de Bretagne,200070688,CC,53,35
CC Couserans-Pyrénées,200067940,CC,76,9
CC Coutances Mer et Bocage,200067023,CC,28,50
CC Creuse Confluence,200067544,CC,75,23
CC Creuse Grand Sud,200044014,CC,75,23
CC Creuse Sud Ouest,200067189,CC,75,23
CC d'Aire-sur-l'Adour,200030435,CC,,
"CC d'Arcis,Mailly,Ramerupt",200071777,CC,44,10
CC d'Auberive Vingeanne et Montsaugeonnais,200027308,CC,44,52
CC d'Entre Bièvre et Rhône,200085751,CC,84,38
CC d'Erdre et Gesvres,244400503,CC,52,44
CC de Bayeux Intercom,241400555,CC,28,14
CC de Belle-Île-en-Mer,245600465,CC,53,56
CC de Bénévent Grand Bourg,242320000,CC,75,23
CC de Bièvre Est,243801073,CC,84,38
CC de Blavet Bellevue Océan,245600440,CC,53,56
CC de Blaye,200023794,CC,75,33
CC de Bléré Val de Cher,243700820,CC,24,37
CC de Brioude Sud Auvergne,200085728,CC,84,43
CC de Brocéliande,243500618,CC,53,35
CC de Calvi Balagne,242020105,CC,94,
CC de Cattenom et Environs,245700695,CC,44,57
CC de Cèze Cévennes,200035129,CC,,
CC de Charente Limousine,200072049,CC,75,16
CC de Commercy - Void - Vaucouleurs,200066157,CC,44,55
CC de Damvillers Spincourt,200066173,CC,44,55
CC de Desvres-Samer,200018083,CC,32,62
CC de Domme - Villefranche du Périgord,200041440,CC,75,24
CC de Fium'orbu Castellu,200033827,CC,94,
CC de Flandre Intérieure,200040947,CC,32,59
CC de Forez-Est,200065894,CC,84,42
CC de Freyming-Merlebach,245700398,CC,44,57
CC de Gâtine et Choisilles - Pays de Racan,200073237,CC,24,37
CC de Gémozac et de la Saintonge Viticole,241700632,CC,75,17
CC de Gevrey-Chambertin et de Nuits-Saint-Georges,200070894,CC,27,21
CC de Grand Lieu,244400438,CC,52,44
"CC de Granville,Terre et Mer",200042604,CC,28,50
CC de Hanau-La Petite Pierre,200067783,CC,44,67
CC de Haute-Cornouaille,242900561,CC,53,29
CC de Haute-Tarentaise,247300254,CC,84,73
CC de l'Agglomération Migennoise,248900383,CC,27,89
CC de l'Aillantais,248900524,CC,27,89
CC de l'Aire à l'Argonne,200066140,CC,44,55
CC de l'Aire Cantilienne,246000764,CC,32,60
CC de l'Alsace Bossue,200067841,CC,44,67
CC de l'Alta Rocca,242000495,CC,94,
CC de l'Arc Mosellan,245701354,CC,44,57
CC de l'Argonne Ardennaise,240800920,CC,44,8
CC de l'Argonne Champenoise,200042703,CC,44,51
CC de l'Ernée,245300355,CC,52,53
CC de l'Est de la Somme,200070985,CC,32,
CC de l'Est Guyanais,249730052,CC,3,973
CC de l'Est Lyonnais (CCEL),246900575,CC,84,69
CC de l'Estuaire,243300811,CC,75,33
CC de l'Île-Rousse - Balagne,200073104,CC,94,
CC de l'Île d'Oléron,241700624,CC,75,17
CC de l'Île de Noirmoutier,248500191,CC,52,85
CC de l'Île de Ré,241700459,CC,75,17
CC de l'Oisans,243800745,CC,84,38
CC de l'Oise Picarde,200068005,CC,32,60
CC de l'Oriente,200015162,CC,94,
CC de l'Orvin et de l'Ardusson,241000488,CC,44,10
CC de l'Ouest Guyanais,249730037,CC,3,973
CC de l'Ouest Vosgien,200068559,CC,44,
CC de l'Oust à Brocéliande,200066785,CC,53,56
CC de l'Outre-Forêt,200040178,CC,44,67
CC de la Baie du Cotentin,200042729,CC,28,50
CC de la Basse-Zorn,246700843,CC,44,67
CC de la Beauce Loirétaine,200035764,CC,24,45
CC de la Brie Champenoise,245100888,CC,44,51
CC de la Castagniccia-Casinca,200073252,CC,94,
CC de la Champagne Conlinoise et du Pays de Sillé,200072718,CC,52,72
CC de la Champagne Picarde,240200576,CC,32,2
CC de la Châtaigneraie Cantalienne,200066678,CC,84,15
CC de la Châtre et Sainte-Sévère,243600350,CC,24,36
"CC de la Cléry,du Betz et de l'Ouanne",200067668,CC,,
CC de la Costa Verde,200034205,CC,94,
CC de la Côte d'Albâtre,200069839,CC,28,76
CC de la Côtière à Montluel,240100610,CC,84,1
CC de la Dombes,200069193,CC,84,1
CC de la Forêt,244500484,CC,24,45
CC de la Gascogne Toulousaine,200023620,CC,76,
CC de la Grande Vallée de la Marne,245100615,CC,44,51
CC de la Haute-Bigorre,246500482,CC,76,65
CC de la Haute-Saintonge,200041523,CC,75,17
CC de la Haute-Somme,200037059,CC,32,80
CC de la Haute Ariège,200066363,CC,76,9
CC de la Haute Comté,200041721,CC,27,70
CC de la Haute Vallée de Chevreuse,200033173,CC,11,78
CC de la Lomagne Gersoise,243200391,CC,76,32
CC de la Lomagne Tarn-et-Garonnaise,248200065,CC,76,82
CC de la Marche Berrichonne,200007052,CC,24,36
CC de la Matheysine,200040657,CC,84,38
CC de la Moivre à la Coole,200043438,CC,44,51
CC de la Montagne d'Ardèche,200072007,CC,84,7
CC de la Montagne Noire,200042463,CC,76,11
CC de la Mossig et du Vignoble,200068864,CC,44,67
CC de la Muse et des Raspes du Tarn,241200914,CC,76,12
CC de la Picardie Verte,246000848,CC,32,60
CC de la Piève de l'Ornano et du Taravo,200038958,CC,94,
CC de la Plaine d'Estrées,246000897,CC,32,60
CC de la Plaine de l'Ain,240100883,CC,84,1
CC de la Plaine Dijonnaise,200000925,CC,27,21
CC de la Plaine du Nord Loiret,244500542,CC,24,45
CC de la Plaine du Rhin,200041283,CC,44,67
CC de la Plaine Jurassienne,243901089,CC,27,39
CC de la Porte des Vosges Méridionales,200068377,CC,44,88
CC de la Région d'Audruicq,246200844,CC,32,62
CC de la Région de Bar-sur-Aube,241000405,CC,44,10
CC de la Région de Blain,244400453,CC,52,44
CC de la Région de Guebwiller,246800569,CC,44,68
CC de la Région de Levroux,243600293,CC,24,36
CC de la Région de Molsheim-Mutzig,246701064,CC,44,67
CC de la Région de Rambervillers,200005957,CC,44,88
CC de la Région de Suippes,200042620,CC,44,51
CC de la Save au Touch,243100781,CC,76,31
CC de la Sologne des Étangs,244100780,CC,24,41
CC de la Sologne des Rivières,244100806,CC,24,41
CC de la Station des Rousses-Haut Jura,243900354,CC,27,39
CC de la Tenarèze,243200417,CC,76,32
CC de la Terre des Deux Caps,246200380,CC,32,62
CC de la Thiérache du Centre,240200444,CC,32,2
CC de la Vallée d'Ossau,246400337,CC,75,64
CC de la Vallée de Chamonix-Mont-Blanc,200023372,CC,84,74
CC de la Vallée de Kaysersberg,246800551,CC,44,68
CC de la Vallée de l'Homme,200041168,CC,75,24
CC de la Vallée de l'Oise et des Trois Forêts,249500455,CC,11,95
CC de la Vallée de la Bruche,246700306,CC,44,67
CC de la Vallée de la Doller et du Soultzbach,246800676,CC,44,68
CC de la Vallée de la Haute-Sarthe,200035103,CC,28,61
CC de la Vallée de Munster,246800585,CC,44,68
CC de la Vallée de Saint-Amarin,246800205,CC,44,68
CC de la Vallée de Villé,246700777,CC,44,67
CC de la Vallée du Gapeau,248300410,CC,93,83
CC de la Vallée du Garon (CCVG),246900757,CC,84,69
CC de la Vallée du Lot et du Vignoble,244600433,CC,76,46
CC de la Vallée Verte,247400047,CC,84,74
CC de la Vanne et du Pays d'Othe,248900664,CC,27,89
CC de la Veyle,200070555,CC,84,1
CC de Lacq-Orthez,200039204,CC,75,64
CC de Lévézou Pareloup,241200765,CC,76,12
CC de Londinières,247600604,CC,28,76
CC de Marana-Golo,200036499,CC,94,
CC de Marcigny,247100639,CC,27,71
CC de Marie-Galante,249710047,CC,1,971
CC de Millau Grands Causses,241200567,CC,76,
CC de Mimizan,244000543,CC,75,40
CC de Mirecourt Dompaire,200068369,CC,44,88
CC de Miribel et du Plateau,240100800,CC,84,1
CC de Montaigne Montravel et Gurson,200034197,CC,75,24
CC de Montbenoît,242500320,CC,27,25
CC de Montesquieu,243301264,CC,75,33
CC de Noblat,248719361,CC,75,87
CC de Nozay,244400537,CC,52,44
CC de Parthenay-Gâtine,200041333,CC,75,79
CC de Petite-Terre,200050532,CC,6,976
CC de Petite Camargue,243000593,CC,76,30
CC de Pont-Audemer / Val de Risle,200065787,CC,28,27
CC de Portes Sud Périgord,200040889,CC,75,24
CC de Pouilly-en-Auxois/Bligny-sur-Ouche,200071207,CC,27,21
CC de Puisaye-Forterre,200067130,CC,27,
CC de Sablé-sur-Sarthe,247200090,CC,52,
CC de Saint-Méen Montauban,200038990,CC,53,35
CC de Saulieu,242101442,CC,27,21
CC de Seille et Grand Couronné,200070589,CC,44,54
CC de Sélestat,246700967,CC,44,67
CC de Sézanne-Sud Ouest Marnais,200066835,CC,44,51
CC de Thann-Cernay,200036465,CC,44,68
CC de Val'Aïgo,243100773,CC,76,31
CC de Vendeuvre-Soulaines,200066892,CC,44,10
CC de Ventadour - Egletons - Monédières,241900133,CC,75,19
CC de Vezouze en Piémont,200069433,CC,44,54
CC de Vie et Boulogne,200072882,CC,52,85
CC de Villedieu Intercom,200043354,CC,28,50
"CC de Vitry,Champagne et Der",200034718,CC,44,51
CC de Yenne,247300262,CC,84,73
CC Decazeville Communauté,200067064,CC,76,12
CC des 1000 étangs,247000854,CC,27,70
CC des 4B Sud Charente,200029734,CC,75,16
"CC des Albères,de la Côte Vermeille et de l'Illibéris",200043602,CC,76,66
CC des Aspres,246600449,CC,76,66
CC des Ballons des Hautes-Vosges,200033868,CC,44,88
CC des Baronnies en Drôme Provençale,200068229,CC,84,26
CC des Bastides Dordogne-Périgord,200034833,CC,75,24
CC des Bastides en Haut-Agenais Périgord,200036523,CC,75,47
CC des Campagnes de l'Artois,200069482,CC,32,62
CC des Causses à l'Aubrac,200068484,CC,76,12
CC des Cévennes au Mont Lozère,200069136,CC,76,48
CC des Cévennes Gangeoises et Suménoises,243400736,CC,76,
CC des Coëvrons,200033298,CC,52,53
CC des Collines du Nord Dauphiné,243801255,CC,84,38
CC des Collines du Perche,244100293,CC,24,41
CC des Collines du Perche Normand,200071504,CC,28,61
CC des Combes,247000367,CC,27,70
CC des Coteaux Arrats Gimone,200042372,CC,76,32
CC des Coteaux Bellevue,243100815,CC,76,31
CC des Coteaux Bordelais,243301355,CC,75,33
CC des Coteaux du Girou,243100732,CC,76,31
CC des Coteaux du Val-d'Arros,200070803,CC,76,65
CC des Coteaux et Landes de Gascogne,244701355,CC,75,47
CC des Crêtes Préardennaises,240800862,CC,44,8
CC des Deux Morin,200072544,CC,11,77
CC des Deux Rives,248200016,CC,,
CC des Deux Vallées,246000772,CC,32,60
CC des Deux Vallées,249100157,CC,11,91
CC des Deux Vallées Vertes,200068294,CC,27,25
CC des Forêts du Perche,200069912,CC,24,28
CC des Gorges de l'Ardèche,200039808,CC,84,7
CC des Grands Lacs,244000873,CC,75,40
CC des Hautes-Vosges,200071157,CC,44,88
CC des Hautes Terres de l'Aubrac,200069144,CC,76,48
CC des Hauts de Flandre,200040954,CC,32,59
CC des Hauts du Perche,200068856,CC,28,61
CC des Hauts du Val de Saône,200036150,CC,27,70
CC des Hauts Tolosans,200071314,CC,76,31
CC des Lacs de Champagne,200040137,CC,44,10
CC des Lacs et Montagnes du Haut-Doubs,200069565,CC,27,25
CC des Landes d'Armagnac,200035541,CC,75,40
CC des Lisières de l'Oise,246000749,CC,32,60
CC des Loges,244500427,CC,24,45
CC des Luys en Béarn,200067239,CC,75,64
CC des Montagnes du Giffre,200034098,CC,84,74
CC des Monts d'Alban et du Villefranchois,200034031,CC,76,81
CC des Monts de Gy,247000698,CC,27,70
CC des Monts de Lacaune et de la Montagne du Haut Languedoc,200066553,CC,76,
CC des Monts du Lyonnais,200066587,CC,84,
CC des Monts du Pilat,244200622,CC,84,42
CC des Pays d'Oise et d'Halatte,246000921,CC,32,60
CC des Pays de Cayres et de Pradelles,244301123,CC,84,43
CC des Pays de L'Aigle,200068468,CC,28,61
CC des Pays du Sel et du Vermois,245400189,CC,44,54
CC des Paysages de la Champagne,200066850,CC,44,51
CC des Portes d'Ariège Pyrénées,200066231,CC,76,9
CC des Portes de l'Entre-deux-Mers,243301439,CC,75,33
CC des Portes de la Thiérache,240200634,CC,32,2
CC des Portes de Meuse,200066108,CC,44,55
CC des Portes de Romilly-sur-Seine,200000545,CC,44,10
CC des Portes de Rosheim,246700744,CC,44,67
CC des Portes de Sologne,200005932,CC,24,45
CC des Portes de Vassivière,248719353,CC,75,87
CC des Portes du Haut-Doubs,242504181,CC,27,25
CC des Portes du Luxembourg,240800847,CC,44,8
CC des Portes Euréliennes d'Île-de-France,200069953,CC,24,28
CC des Quatre Rivières,200069730,CC,28,
CC des Quatre Rivières,247000623,CC,27,70
CC des Quatre Rivières,247400666,CC,84,74
CC des Quatre Vallées,244500419,CC,24,45
CC des Rives du Haut-Allier,200073393,CC,84,43
CC des Sablons,246000582,CC,32,60
CC des Savanes,200027548,CC,3,973
CC des Savoir-Faire,200070332,CC,,
CC des Sept Vallées,200044030,CC,32,62
CC des Sorgues du Comtat,248400293,CC,93,84
CC des Sources de l'Orne,200035111,CC,28,61
CC des Sources du Lac d'Annecy,247400773,CC,84,74
CC des Sucs,244301016,CC,84,43
CC des Terres d'Apcher-Margeride-Aubrac,200069185,CC,76,48
CC des Terres d'Auxois,200071017,CC,27,21
CC des Terres du Lauragais,200071298,CC,76,31
CC des Terres du Val de Loire,200070183,CC,24,
CC des Trois Forêts,245200597,CC,44,52
CC des Trois Rivières,240200600,CC,32,2
CC des Vallées d'Aigueblanche,247300015,CC,84,73
CC des Vallées d'Auge et du Merlerault,200069458,CC,28,61
CC des Vallées de la Braye et de l'Anille,200072692,CC,52,72
CC des Vallées de la Tille et de l'Ignon,242100154,CC,27,21
CC des Vallées de Thônes,247400617,CC,84,74
CC des Vallées du Clain,200043628,CC,75,86
CC des Vallées du Haut-Anjou,200071868,CC,52,49
CC des Vallons du Lyonnais (CCVL),246900724,CC,84,69
CC des Vals d'Aix et Isable,244200614,CC,84,42
CC des Vals de Saintonge Communauté,200041689,CC,75,17
CC des Villes Sœurs,247600588,CC,,
CC des Vosges côté Sud Ouest,200068773,CC,44,88
CC des Vosges du Sud,200069060,CC,27,90
CC Dieulefit-Bourdeaux,242600492,CC,84,26
CC Dombes Saône Vallée,200042497,CC,84,1
CC Dômes Sancy Artense,200069169,CC,84,63
CC Domfront Tinchebray Interco,200071520,CC,28,61
CC Douarnenez Communauté,242900645,CC,53,29
CC Drôme Sud Provence,200042901,CC,84,26
CC Dronne et Belle,200041572,CC,75,24
CC du Barséquanais en Champagne,200069003,CC,44,10
CC du Bas Armagnac,243200409,CC,76,32
CC du Bassin d'Aubenas,200073245,CC,84,7
CC du Bassin de Joinville en Champagne,200044253,CC,44,52
CC du Bassin de Marennes,241700699,CC,75,17
CC du Bassin de Pompey,245400601,CC,44,54
CC du Bassin de Pont-à-Mousson,200041515,CC,44,54
CC du Bazadais,200043982,CC,75,33
CC du Béarn des Gaves,200067288,CC,75,64
CC du Bocage Bourbonnais,200071496,CC,84,3
CC du Bocage Mayennais,245300389,CC,52,53
CC du Bonnevalais,242852465,CC,24,28
CC du Briançonnais,240500439,CC,93,5
CC du Canton d'Erstein,200067924,CC,44,67
CC du Canton d'Oulchy-le-Château,240200519,CC,32,2
CC du Canton de Charly-sur-Marne,240200584,CC,32,2
CC du Canton de la Chambre,247300361,CC,84,73
CC du Canton de Semur-en-Brionnais,247103864,CC,27,71
CC du Cap Corse,200042943,CC,94,
CC du Castelrenaudais,243700499,CC,24,37
CC du Causse de Labastide-Murat,244600573,CC,76,46
CC du Centre-Ouest,200059871,CC,6,976
CC du Centre Corse,242020071,CC,94,
CC du Centre du Haut-Rhin,246800445,CC,44,68
CC du Chaourçois et du Val d'Armance,200071041,CC,44,10
CC du Châtillonnais en Berry,200035848,CC,24,36
CC du Chemin des Dames,240200592,CC,32,2
CC du Civraisien en Poitou,200070035,CC,75,86
CC du Clermontais,243400355,CC,76,34
CC du Clermontois,246000376,CC,32,60
CC du Clunisois,200040293,CC,27,71
CC du Confluent et des Coteaux de Prayssas,200068922,CC,75,47
CC du Cordais et du Causse (4 C),200034064,CC,76,81
CC du Créonnais,243301215,CC,75,33
CC du Crestois et de Pays de Saillans Cœur de Drôme,200040509,CC,84,26
CC du Diois,242600534,CC,84,26
CC du District Urbain de Faulquemont (DUF),245700133,CC,44,57
CC du Doubs Baumois,242504447,CC,27,25
CC du Fronsadais,243301397,CC,75,33
CC du Frontonnais,200034957,CC,76,31
CC du Gâtinais en Bourgogne,248900748,CC,27,89
CC du Genevois,247400690,CC,84,74
CC du Gévaudan,244800470,CC,76,48
CC du Golfe de Saint-Tropez,200036077,CC,93,83
CC du Grand Armagnac,243200458,CC,76,32
CC du Grand Autunois Morvan,200070530,CC,27,71
CC du Grand Chambord,244100798,CC,24,41
CC du Grand Châteaudun,200069961,CC,24,28
CC du Grand Cubzaguais,243301223,CC,75,33
CC du Grand Langres,200072999,CC,44,52
CC du Grand Pic Saint-Loup,200022986,CC,76,34
CC du Grand Pontarlier,242500338,CC,27,25
CC du Grand Roye,200070977,CC,32,80
CC du Grand Saint-Émilionnais,200035533,CC,75,33
CC du Guillestrois et du Queyras,200067452,CC,93,5
CC du Haut-Allier,200006930,CC,76,48
CC du Haut-Béarn,200067262,CC,75,64
CC du Haut-Chablais,247400682,CC,84,74
CC du Haut-Jura - ARCADE,243900479,CC,27,39
CC du Haut-Lignon,244301107,CC,84,43
CC du Haut-Poitou,200069763,CC,75,86
CC du Haut Pays Bigouden,242900710,CC,53,29
CC du Haut Pays du Montreuillois,200069235,CC,32,62
CC du Haut Val d'Oise,249500489,CC,11,95
CC du Haut Vallespir,246600548,CC,76,66
CC du Jovinien,248900938,CC,27,89
CC du Kochersberg,200034635,CC,44,67
CC du Kreiz-Breizh (CCKB),242200715,CC,53,22
CC du Lac d'Aiguebelette (CCLA),247300668,CC,84,73
CC du Lautrécois et du Pays d'Agout,200034056,CC,76,81
CC du Liancourtois,246000129,CC,32,60
CC du Limouxin,200071926,CC,76,11
CC du Massif du Sancy,246300966,CC,84,
CC du Massif du Vercors,243801024,CC,84,38
CC du Minervois au Caroux,200066348,CC,76,34
CC du Mont des Avaloirs,200042182,CC,52,53
CC du Montbardois,242101491,CC,27,21
